,Name of Institution,Default Rate: 2 yr
424,NORTH IDAHO COLLEGE,19.6
425,NORTHWEST NAZARENE UNIVERSITY,6.1
426,BRIGHAM YOUNG UNIVERSITY-IDAHO,2.4
427,UNIVERSITY OF IDAHO,5.1
428,AMERICAN ACADEMY OF ART,14.8
429,AQUINAS INSTITUTE OF THEOLOGY,0.0
430,AUGUSTANA COLLEGE,3.9
431,AURORA UNIVERSITY,7.4
432,SOUTHWESTERN ILLINOIS COLLEGE,24.6
433,BETHANY THEOLOGICAL SEMINARY,0.0
434,BLACK HAWK COLLEGE,21.9
435,BLACKBURN UNIVERSITY,11.3
436,PRAIRIE STATE COLLEGE,20.5
437,BRADLEY UNIVERSITY,2.8
438,SPOON RIVER COLLEGE,29.6
439,CITY COLLEGES OF CHICAGO HARRY S TRUMAN COLLEGE,0.0
440,RICHARD J DALEY COLLEGE-CITY COLLEGES OF CHICAGO,16.0
441,CITY COLLEGES OF CHICAGO - MALCOLM X COLLEGE,29.1
442,HAROLD WASHINGTON COLLEGE,20.8
443,CITY COLLEGES OF CHICAGO - KENNEDY KING COLLEGE,20.1
444,WILBUR WRIGHT COLLEGE,0.0
445,MIDWESTERN UNIVERSITY,0.0
446,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,0.4
447,CHICAGO THEOLOGICAL SEMINARY,13.0
448,SPERTUS COLLEGE OF JUDAICA,6.9
449,UNIVERSITY OF SAINT FRANCIS,2.8
450,COLUMBIA COLLEGE,11.4
451,CONCORDIA UNIVERSITY,3.9
452,DANVILLE AREA COMMUNITY COLLEGE,17.1
453,DEPAUL UNIVERSITY,4.4
454,EASTERN ILLINOIS UNIVERSITY,4.8
455,ELGIN COMMUNITY COLLEGE,14.6
456,ELMHURST COLLEGE,2.0
457,EUREKA COLLEGE,10.0
458,HIGHLAND COMMUNITY COLLEGE,24.8
459,GARRETT - EVANGELICAL THEOLOGICAL SEMINARY,15.0
460,GREENVILLE COLLEGE,7.8
461,HEBREW THEOLOGICAL COLLEGE,4.3
462,ILLINOIS COLLEGE,5.9
463,ILLINOIS COLLEGE OF OPTOMETRY,0.0
464,ILLINOIS INSTITUTE OF TECHNOLOGY,4.6
465,ILLINOIS STATE UNIVERSITY,3.0
466,NORTHEASTERN ILLINOIS UNIVERSITY,10.1
467,CHICAGO STATE UNIVERSITY,15.2
468,ILLINOIS WESLEYAN UNIVERSITY,2.5
469,JOHN MARSHALL LAW SCHOOL (THE),5.1
470,JOLIET JUNIOR COLLEGE,16.4
471,JUDSON UNIVERSITY,5.4
472,KASKASKIA COLLEGE,0.0
473,KENDALL COLLEGE,11.4
474,KNOX COLLEGE,3.5
475,ILLINOIS VALLEY COMMUNITY COLLEGE,13.2
476,LAKE FOREST COLLEGE,6.7
477,LEWIS UNIVERSITY,7.3
478,LINCOLN CHRISTIAN UNIVERSITY,7.6
479,LINCOLN COLLEGE,18.6
480,LOYOLA UNIVERSITY CHICAGO,5.7
481,LUTHERAN SCHOOL OF THEOLOGY AT CHICAGO,6.9
482,MACCORMAC COLLEGE,28.5
483,MACMURRAY COLLEGE,16.4
484,MCCORMICK THEOLOGICAL SEMINARY,22.7
485,MCKENDREE UNIVERSITY,8.9
486,MEADVILLE THEOLOGICAL SCHOOL OF LOMBARD COLLEGE,0.0
487,MILLIKIN UNIVERSITY,8.5
488,MONMOUTH COLLEGE,11.7
489,MOODY BIBLE INSTITUTE,0.0
490,MORTON COLLEGE,43.2
491,NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE),5.5
492,NATIONAL LOUIS UNIVERSITY,6.9
493,NORTH CENTRAL COLLEGE,5.5
494,NORTH PARK UNIVERSITY,10.0
495,NORTHERN BAPTIST THEOLOGICAL SEMINARY,0.0
496,NORTHERN ILLINOIS UNIVERSITY,7.4
497,NORTHWESTERN UNIVERSITY,1.8
498,OLIVET NAZARENE UNIVERSITY,4.0
499,ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE,24.4
500,QUINCY UNIVERSITY,11.1
