,Name of Institution,Default Rate: 2 yr
4404,ART INSTITUTE OF YORK (THE) - PENNSYLVANIA,10.4
4405,PRISM CAREER INSTITUTE,29.1
4406,CHEVEUX SCHOOL OF HAIR DESIGN,0.0
4407,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,16.6
4408,UNITED EDUCATION INSTITUTE,19.3
4409,INTERCOAST COLLEGES,32.1
4410,RAZZLE DAZZLE COLLEGE OF HAIR DESIGN,18.5
4411,CASAL AVEDA INSTITUTE,14.9
4412,PHILLIPS THEOLOGICAL SEMINARY,16.0
4413,PINNACLE INSTITUTE OF COSMETOLOGY,8.3
4414,PICKAWAY ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT,14.4
4415,SOUTHEAST SCHOOL OF COSMETOLOGY,0.0
4416,SOUTHAMPTON SOLENT UNIVERSITY,0.0
4417,BRILLARE HAIRDRESSING ACADEMY,16.9
4418,APOLLO CAREER CENTER,0.0
4419,RAPHAEL'S SCHOOL OF BEAUTY CULTURE,11.7
4420,ROGIE'S SCHOOL OF BEAUTY CULTURE,0.0
4421,ELAINE STEVEN BEAUTY COLLEGE,16.3
4422,PLATT TECHNICAL HIGH SCHOOL,0.0
4423,KAPLAN COLLEGE,21.1
4424,SUMTER BEAUTY COLLEGE,0.0
4425,TEXAS BARBER COLLEGES & HAIRSTYLING SCHOOLS,27.5
4426,GRABBER SCHOOL OF HAIR DESIGN,16.3
4427,MAHONING COUNTY CAREER AND TECHNICAL CENTER,0.0
4428,SUSSEX COUNTY COMMUNITY COLLEGE,21.4
4429,LE CORDON BLEU COLLEGE OF CULINARY ARTS,28.8
4430,SEARCY BEAUTY COLLEGE,38.2
4431,LOS ANGELES ORT TECHNICAL INSTITUTE,30.5
4432,VISTA COLLEGE,10.0
4433,EVANS HAIRSTYLING COLLEGE,0.0
4434,VISTA COLLEGE,14.1
4435,BUSINESS INFORMATICS CENTER,17.8
4436,EVANS HAIRSTYLING COLLEGE,13.3
4437,LA BELLE BEAUTY ACADEMY,11.4
4438,INSTITUTE FOR CLINICAL SOCIAL WORK,0.0
4439,L'ACADEMIE DE CUISINE,14.0
4440,PENNSYLVANIA INSTITUTE OF TAXIDERMY,26.3
4441,"FRENCH CULINARY INSTITUTE,THE",7.4
4442,ESCUELA TECNICA DE ELECTRICIDAD,0.0
4443,MID-CONTINENT UNIVERSITY,10.6
4444,CHARTER COLLEGE,17.5
4445,PAUL MITCHELL THE SCHOOL - ESANI,24.0
4446,SALVATION ARMY WILLIAM AND CATHERINE BOOTH UNIVERSITY COLLEGE (TH,0.0
4447,BEAUTY COLLEGE OF AMERICA,0.0
4448,SANTA BARBARA BUSINESS COLLEGE,22.8
4449,SANTA BARBARA BUSINESS COLLEGE,16.7
4450,NOSSI COLLEGE OF ART,17.8
4451,MARYLAND UNIVERSITY OF INTEGRATIVE HEALTH,1.4
4452,NORTHWEST NANNIES INSTITUTE,21.0
4453,MURDOCH UNIVERSITY,7.1
4454,NEW ENGLAND SCHOOL OF ACUPUNCTURE,2.3
4455,NORTH CENTRAL OPPORTUNITIES INDUSTRIALIZATION CENTER,35.7
4456,IVERSON INSTITUTE,26.1
4457,ATLANTA SCHOOL OF MASSAGE,15.3
4458,CLAREMORE BEAUTY COLLEGE,33.3
4459,CC'S COSMETOLOGY COLLEGE,32.9
4460,"GUY'S ACADEMY HAIR, SKIN & NAILS",8.8
4461,CORTIVA INSTITUTE - TUCSON,17.3
4462,KAPLAN CAREER INSTITUTE,33.6
4463,GWINNETT COLLEGE,12.9
4464,NEWBRIDGE COLLEGE,25.9
4465,NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF MASSACHUSETTS,13.4
4466,FIRST INSTITUTE,6.8
4467,INFINITY CAREER COLLEGE,0.0
4468,TRUMBULL CAREER AND TECHNICAL CENTER-ADULT TRAINING CENTER,23.9
4469,HARRIS SCHOOL OF BUSINESS,22.2
4470,UNIVERSIDAD METROPOLITANA,17.2
4471,ORLO SCHOOL OF HAIR DESIGN & COSMETOLOGY (THE),6.8
4472,HAIR PROFESSIONALS CAREER COLLEGE,8.5
4473,UNIVERSITY OF ULSTER,0.0
4474,DOUGLAS J AVEDA INSTITUTE,16.5
4475,OHIO STATE SCHOOL OF COSMETOLOGY,8.0
4476,SEMINARIO EVANGELICO DE PUERTO RICO,0.0
4477,MEDTECH INSTITUTE,15.3
4478,WRIGHT CAREER COLLEGE,23.0
4479,CAREER POINT COLLEGE,20.9
4480,NORTH-WEST COLLEGE,5.9
4481,KAPLAN COLLEGE,26.4
4482,HISPANIC AMERICAN COLLEGE,0.0
4483,CONCORDIA UNIVERSITY COLLEGE OF ALBERTA,100.0
4484,COLLEGEAMERICA DENVER,38.3
4485,FAYETTEVILLE COLLEGE OF COSMETOLOGY ARTS & SCIENCES,11.1
4486,HILLSDALE BEAUTY COLLEGE,16.6
4487,CRIMSON TECHNICAL COLLEGE,26.8
4488,HERITAGE INSTITUTE,29.3
4489,SOUTH BAYLO UNIVERSITY,19.6
4490,UNIVERSITY OF SOUTHERNMOST FLORIDA,35.1
4491,NEW YORK COLLEGE OF HEALTH PROFESSIONS,21.1
4492,EMPIRE BEAUTY SCHOOL,7.9
4493,VATTEROTT COLLEGE,25.5
4494,EVEREST UNIVERSITY,29.7
4495,"NORTHWEST TECHNOLOGY CENTER, SCHOOL DISTRICT 10",0.0
4496,NEW YORK ACADEMY OF ART (THE),2.5
4497,OCEAN CORPORATION (THE),23.9
4498,WES WATKINS TECHNOLOGY CENTER SCHOOL DISTRICT #25,0.0
4499,AVEDA INSTITUTE COVINGTON,17.3
4500,AMERICAN SCHOOL OF BUSINESS,23.2
4501,OPELOUSAS SCHOOL OF COSMETOLOGY,37.5
4502,HENRY W BREWSTER TECHNICAL CENTER,0.0
4503,NORTHWEST COLLEGE OF ART & DESIGN,15.3
4504,CENTRAL COAST COLLEGE,20.4
4505,XENON INTERNATIONAL ACADEMY,13.5
4506,OREGON COLLEGE OF ORIENTAL MEDICINE,0.0
4507,LORAIN COUNTY JVS ADULT CAREER CENTER,27.0
4508,CENTER FOR ADVANCED LEGAL STUDIES,11.6
4509,EVEREST COLLEGE,37.0
4510,PAUL MITCHELL THE SCHOOL WICHITA,35.7
4511,CAREER TECHNICAL COLLEGE,24.2
4512,HAIR ARTS ACADEMY,25.0
4513,PAUL MITCHELL THE SCHOOL BOISE,6.4
4514,EMPIRE BEAUTY SCHOOL,10.1
4515,NEOSHO BEAUTY COLLEGE,22.2
4516,PINNACLE COLLEGE,5.6
4517,EMPEROR'S COLLEGE OF TRADITIONAL ORIENTAL MEDICINE,6.5
4518,VATTEROTT COLLEGE,25.0
4519,VALLEY COLLEGE,17.7
4520,CAREER TRAINING ACADEMY,21.5
4521,XENON INTERNATIONAL ACADEMY II,11.9
4522,HERITAGE COLLEGE,20.9
4523,DUBLIN CITY UNIVERSITY,8.3
4524,KING'S UNIVERSITY COLLEGE (THE),0.0
4525,MARINELLO SCHOOL OF BEAUTY,8.8
4526,"SALON PROFESSIONAL ACADEMY - MELBOURNE, THE",21.8
4527,PINNACLE CAREER INSTITUTE,4.6
4528,MILLER - MOTTE TECHNICAL COLLEGE,25.2
4529,SANFORD-BROWN INSTITUTE,27.7
4530,SANFORD-BROWN COLLEGE,23.8
4531,COLLEGE OF COURT REPORTING,8.0
4532,JEAN MADELINE AVEDA INSTITUTE,14.1
4533,SANFORD-BROWN INSTITUTE,27.3
4534,SHEAR EGO INTERNATIONAL SCHOOL OF HAIR DESIGN,0.0
4535,LE CORDON BLEU COLLEGE OF CULINARY ARTS,26.4
4536,CONTINENTAL SCHOOL OF BEAUTY CULTURE,14.9
4537,EVEREST COLLEGE,21.7
4538,DENHAM SPRINGS BEAUTY COLLEGE,50.0
4539,SANDUSKY CAREER CENTER,18.7
4540,ACADEMY OF COSMETOLOGY,11.1
4541,CAREER COLLEGE OF NORTHERN NEVADA,17.0
4542,SOUTHWEST ACUPUNCTURE COLLEGE,2.1
4543,KNOWLEDGE SYSTEMS INSTITUTE,100.0
4544,RABBINICAL COLLEGE OF YESHIVA AND KOLEL BAIS MEDROSH ELYON ASSOCI,0.0
4545,PARADISE VALLEY COMMUNITY COLLEGE,16.8
4546,CORTIVA INSTITUTE - SCOTTSDALE,14.4
4547,MCNALLY SMITH COLLEGE OF MUSIC,10.0
4548,WELCH COLLEGE,11.5
4549,HAIRMASTERS INSTITUTE OF COSMETOLOGY,27.7
4550,KENTUCKY MOUNTAIN BIBLE COLLEGE,7.6
4551,GRAHAM WEBB INTERNATIONAL ACADEMY OF HAIR,4.1
4552,EVEREST INSTITUTE,24.3
4553,SAFFORD COLLEGE OF BEAUTY CULTURE,36.3
4554,ARKANSAS BEAUTY SCHOOL,10.0
4555,GEORGIA CAREER INSTITUTE,20.2
4556,DETROIT BUSINESS INSTITUTE - DOWNRIVER,24.4
4557,INSTITUTE OF BUSINESS & MEDICAL CAREERS,13.5
4558,FRONTIER NURSING UNIVERSITY,3.0
4559,HOT SPRINGS BEAUTY COLLEGE,12.5
4560,OREGON COLLEGE OF ART & CRAFT,5.7
4561,ARKANSAS BEAUTY SCHOOL/CONWAY,21.1
4562,GALLIPOLIS CAREER COLLEGE,29.4
4563,FLORIDA COLLEGE OF NATURAL HEALTH,24.4
4564,FRANKLIN ACADEMY,10.5
4565,SW SCHOOL OF BUSINESS & TECHNICAL CAREERS,0.0
4566,WINSTON - SALEM BARBER SCHOOL,0.0
4567,CRESCENT CITY SCHOOL OF GAMING & BARTENDING,16.3
4568,VIRGINIA COLLEGE,20.5
4569,BAR PALMA BEAUTY CAREERS ACADEMY,26.8
4570,FORTIS INSTITUTE,10.3
4571,"CALIFORNIA STATE UNIVERSITY, SAN MARCOS",3.5
4572,FORTIS INSTITUTE,15.3
4573,FORTIS INSTITUTE,13.2
4574,UNIVERSITY OF COSMETOLOGY ARTS & SCIENCES,32.6
4575,REMINGTON COLLEGE,13.5
4576,ASM BEAUTY WORLD ACADEMY,8.5
4577,UNIVERSITY OF BUCKINGHAM,0.0
4578,PLATT COLLEGE,15.6
4579,ALLIANCE CITY SCHOOLS CAREER CENTRE,20.0
4580,EHOVE CAREER CENTER,13.6
4581,UNIVERSITY OF PUERTO RICO CAROLINA REGIONAL COLLEGE,12.5
4582,TRAVEL INSTITUTE OF THE PACIFIC,26.4
4583,ROCKY MOUNTAIN COLLEGE: CENTRE FOR BIBLICAL STUDIES,0.0
4584,BENE'S INTERNATIONAL SCHOOL OF BEAUTY,19.3
4585,PCI HEALTH TRAINING CENTER,22.8
4586,CAPSTONE COLLEGE,25.7
4587,SW SCHOOL OF BUSINESS & TECHNICAL CAREERS,0.0
4588,EDIC  COLLEGE,0.0
4589,LE CORDON BLEU COLLEGE OF CULINARY ARTS,23.9
4590,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,23.3
4591,CAMELOT COLLEGE,24.0
4592,MADISON ADULT CAREER CENTER,12.5
4593,VALLEY BEAUTY SCHOOL,40.6
4594,STILLWATER BEAUTY ACADEMY,4.3
4595,TENNESSEE ACADEMY OF COSMETOLOGY,13.0
4596,TEXAS COLLEGE OF COSMETOLOGY,17.3
4597,MECH TECH COLLEGE,0.0
4598,DELL'ARTE INTERNATIONAL SCHOOL OF PHYSICAL THEATRE,10.0
4599,DAWN CAREER INSTITUTE,12.1
4600,HEAD'S WEST KENTUCKY BEAUTY COLLEGE,0.0
4601,REMINGTON COLLEGE,15.0
4602,FAIRVIEW ACADEMY,0.0
4603,BLADES SCHOOL OF HAIR DESIGN,22.2
4604,XENON INTERNATIONAL ACADEMY III,15.0
4605,PACIFIC COLLEGE OF ORIENTAL MEDICINE,6.6
4606,TRINITY COLLEGE OF FLORIDA,3.8
4607,LAWTON CAREER INSTITUTE,33.3
4608,ROYAL BEAUTY CAREERS,24.6
4609,KEELE UNIVERSITY,33.3
4610,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,0.0
4611,UNIVERSAL TECHNOLOGY COLLEGE  OF  PUERTO RICO,0.0
4612,CONSOLIDATED SCHOOL OF BUSINESS,8.2
4613,UTAH COLLEGE OF MASSAGE THERAPY,26.7
4614,OKLAHOMA SCHOOL OF PHOTOGRAPHY,20.0
4615,AMERICAN BROADCASTING SCHOOL,44.6
4616,DIESEL DRIVING ACADEMY,14.3
4617,XENON INTERNATIONAL ACADEMY IV,20.6
4618,INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY,26.8
4619,SCHOOL OF AUTOMOTIVE MACHINISTS,0.0
4620,KC'S SCHOOL OF HAIR DESIGN,0.0
4621,ALABAMA STATE COLLEGE OF BARBER STYLING,0.0
4622,MANCHESTER METROPOLITAN UNIVERSITY,16.6
4623,CAPE BRETON UNIVERSITY,50.0
4624,CONSERVATORY OF RECORDING ARTS & SCIENCES,16.2
4625,OWENSBORO COMMUNITY & TECHNICAL COLLEGE,20.3
4626,TINT SCHOOL OF MAKEUP & COSMETOLOGY,16.6
4627,SOUTHERN CAREERS INSTITUTE,36.8
4628,LAS POSITAS COLLEGE,23.6
4629,HERITAGE INSTITUTE,23.7
4630,NATIONAL AVIATION ACADEMY,27.3
4631,HODGES UNIVERSITY,13.4
4632,FREMONT COLLEGE,20.8
4633,LEBANON TECHNOLOGY AND CAREER CENTER,18.4
4634,CARRINGTON COLLEGE,13.8
4635,LAURUS TECHNICAL INSTITUTE,29.4
4636,THOMAS MORE COLLEGE OF LIBERAL ARTS,11.1
4637,KAPLAN COLLEGE,23.4
4638,NEWSCHOOL OF ARCHITECTURE AND DESIGN,11.7
4639,UNIVERSITY OF EAST LONDON,33.3
4640,STUDIO ART CENTERS INTERNATIONAL - FLORENCE,0.0
4641,ADLER GRADUATE SCHOOL,6.6
4642,MEREDITH MANOR INTERNATIONAL EQUESTRIAN CENTRE,13.7
4643,KENNETH SHULER SCHOOL OF COSMETOLOGY & HAIR DESIGN,6.8
4644,ROYALE COLLEGE OF BEAUTY,8.7
4645,FORTIS COLLEGE,9.8
4646,GENESIS CAREER COLLEGE: LEBANON CAMPUS,6.5
4647,MIDWEST COLLEGE OF ORIENTAL MEDICINE,3.4
4648,STAR COLLEGE OF COSMETOLOGY,14.8
4649,WESTECH COLLEGE,12.2
4650,PLATT COLLEGE,23.0
4651,NORTHWEST ARKANSAS COMMUNITY COLLEGE,20.3
4652,MODERN TECHNOLOGY SCHOOL,15.9
4653,REGENCY BEAUTY INSTITUTE,17.2
4654,UNIVERSITY OF TEXAS AT BROWNSVILLE,16.1
4655,AARON'S ACADEMY OF BEAUTY,22.2
4656,LUCAS MARC ACADEMY,0.0
4657,ABC BEAUTY COLLEGE,10.3
4658,PAUL MITCHELL THE SCHOOL BRADLEY,5.3
4659,BRYAN UNIVERSITY,30.4
4660,BRYAN UNIVERSITY,25.9
4661,AILANO SCHOOL OF COSMETOLOGY,11.1
4662,PONTIFICIA UNIVERSITA DELLA SANTA CROCE,0.0
4663,INTELLITEC COLLEGE,21.8
4664,ANTONELLI MEDICAL & PROFESSIONAL INSTITUTE,12.0
4665,UNIVERSITY OF SYDNEY,5.0
4666,INSTITUTE OF TECHNOLOGY,31.8
4667,RAPHAEL'S SCHOOL OF BEAUTY CULTURE,5.0
4668,OHIO CENTER FOR BROADCASTING,12.1
4669,SPECIAL SCHOOL DISTRICT OF ST. LOUIS COUNTY,19.4
4670,ALLEN COLLEGE,1.4
4671,SAGE COLLEGE,10.6
4672,SOUTHEAST MISSOURI HOSPITAL COLLEGE OF NURSING AND HEALTH SCIENCE,4.0
4673,COLLEGE OF BUSINESS & TECHNOLOGY,8.4
4674,ITT TECHNICAL INSTITUTE,28.0
4675,MOUNT CARMEL COLLEGE OF NURSING,4.0
4676,CHANDLER - GILBERT COMMUNITY COLLEGE,14.4
4677,EVEREST COLLEGE,31.3
4678,WORLD MEDICINE INSTITUTE,9.0
4679,DCI CAREER INSTITUTE,22.5
4680,WESTWOOD COLLEGE - LOS ANGELES,22.6
4681,UNIVERSITY OF DEBRECEN MEDICAL AND HEALTH SCIENCE CENTER,0.0
4682,PHAGANS' NEWPORT ACADEMY OF COSMETOLOGY CAREERS,22.7
4683,EAST WEST COLLEGE OF THE HEALING ARTS,5.9
4684,TWIN CITY BEAUTY COLLEGE,11.2
4685,EMMA'S BEAUTY ACADEMY,0.0
4686,SOUTHWESTERN COLLEGE,0.0
4687,BEULAH HEIGHTS UNIVERSITY,19.3
4688,BRYMAN SCHOOL OF ARIZONA (THE),13.7
4689,COSMETOLOGY CONCEPTS INSTITUTE,22.2
4690,EMPIRE BEAUTY SCHOOL,19.2
4691,OHIO CENTER FOR BROADCASTING,17.6
4692,AMERICAN COLLEGE OF TRADITIONAL CHINESE MEDICINE,3.5
4693,VANCOUVER SCHOOL OF THEOLOGY,0.0
4694,CAMEO BEAUTY ACADEMY,8.9
4695,TECHNICAL INSTITUTE OF COSMETOLOGY ARTS & SCIENCES,30.7
4696,ETI TECHNICAL COLLEGE OF NILES,15.3
4697,NORTH CENTRAL INSTITUTE,46.6
4698,WESTWOOD COLLEGE - DUPAGE,19.5
4699,LYME ACADEMY COLLEGE OF FINE ARTS,21.0
4700,CITY COLLEGE,25.9
4701,NEWPORT SCHOOL OF HAIRDRESSING,0.0
4702,SHEFFIELD HALLAM UNIVERSITY,0.0
4703,SOUTHEASTERN BEAUTY SCHOOLS,26.9
4704,DELAWARE CHENANGO MADISON OTSEGO BOCES,23.8
4705,YTI CAREER INSTITUTE - ALTOONA,20.0
4706,MYOTHERAPY COLLEGE OF UTAH,26.1
4707,ROSEL SCHOOL OF COSMETOLOGY,0.0
4708,OZARKS TECHNICAL COMMUNITY COLLEGE,21.1
4709,GALEN HEALTH INSTITUTES,16.5
4710,HEARTLAND COMMUNITY COLLEGE,16.6
4711,VALLEY COLLEGE,37.5
4712,UNIVERSITY OF LIMERICK,0.0
4713,VALLEY COLLEGE,32.7
4714,VENTURA ADULT AND CONTINUING EDUCATION,21.6
4715,PROFESSIONAL TECHNICAL INSTITUTION,0.0
4716,MOLER BARBER COLLEGE OF HAIR STYLING,0.0
4717,CARSON CITY BEAUTY ACADEMY,43.3
4718,ROYAL CONSERVATOIRE OF SCOTLAND,9.0
4719,"WATKINS COLLEGE OF ART, DESIGN & FILM",5.7
4720,GEORGIA INSTITUTE OF COSMETOLOGY,10.4
4721,NOUVELLE INSTITUTE,0.0
4722,HERITAGE BIBLE COLLEGE,23.0
4723,CAREER INSTITUTE OF HEALTH AND TECHNOLOGY,25.5
4724,SHARP'S ACADEMY OF HAIRSTYLING,0.0
4725,COBB BEAUTY COLLEGE,9.5
4726,LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE,0.7
4727,REGENT UNIVERSITY,4.6
4728,UNIVERSITY OF WOLLONGONG,0.0
4729,UNIVERSITY OF CANBERRA,66.6
4730,POZNAN UNIVERSITY OF MEDICAL SCIENCES,12.5
4731,NOTTINGHAM TRENT UNIVERSITY,0.0
4732,MESSENGER COLLEGE,4.5
4733,SKYLINE COLLEGE,19.5
4734,MARINELLO SCHOOL OF BEAUTY,6.6
4735,INDUSTRIAL MANAGEMENT & TRAINING INSTITUTE,17.3
4736,RMIT UNIVERSITY,12.5
4737,BOND UNIVERSITY,10.7
4738,ASA INSTITUTE OF BUSINESS & COMPUTER TECHNOLOGY,37.3
4739,ESSEC BUSINESS SCHOOL,0.0
4740,LA TROBE UNIVERSITY,20.0
4741,CHARLES STUART SCHOOL,11.1
4742,FORTIS INSTITUTE,19.4
4743,LEECH LAKE TRIBAL COLLEGE,0.0
4744,SPRINGFIELD BEAUTY ACADEMY,16.1
4745,MERCY COLLEGE OF OHIO,6.2
4746,AESTHETICS INSTITUTE OF COSMETOLOGY,8.3
4747,CENTRAL QUEENSLAND UNIVERSITY,100.0
4748,CENTRAL CALIFORNIA SCHOOL OF CONTINUING EDUCATION,11.4
4749,CARSTEN INSTITUTE OF COSMETOLOGY,15.0
4750,ST. JOHN'S COLLEGE,0.0
4751,YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,10.0
4752,CAREER TECHNOLOGY CENTER OF LACKAWANNA COUNTY,16.6
4753,MILAN INSTITUTE,28.1
4754,CORTIVA INSTITUTE - SEATTLE,8.8
4755,ILLINOIS SCHOOL OF HEALTH CAREERS,21.4
4756,UNIVERSITY OF ADELAIDE (THE),0.0
4757,PARAMOUNT BEAUTY ACADEMY,2.4
4758,COCONINO COUNTY COMMUNITY COLLEGE,26.0
4759,TUCKER CAREER AND TECHNOLOGY CENTER,19.4
4760,LUTHER RICE UNIVERSITY,9.0
4761,NEW DIMENSION SCHOOL OF HAIR DESIGN,23.5
4762,GRANITE STATE COLLEGE,11.5
4763,FORBES ROAD CAREER AND TECHNOLOGY CENTER,0.0
4764,ASIAN INSTITUTE OF MANAGEMENT,0.0
4765,ILLINOIS CENTER FOR BROADCASTING,4.7
4766,TRINITY BAPTIST COLLEGE,14.2
4767,"RIVERTOWN SCHOOL OF BEAUTY, BARBER, SKIN CARE AND NAILS",23.1
4768,MORGANTOWN BEAUTY COLLEGE,11.5
4769,AMERICAN UNIVERSITY OF ROME,16.6
4770,ROBERT GORDON UNIVERSITY (THE),33.3
4771,JNA INSTITUTE OF CULINARY ARTS,11.1
4772,ADIRONDACK BEAUTY SCHOOL,26.0
4773,SOUTHERN SCHOOL OF BEAUTY,34.6
4774,MARION COUNTY COMMUNITY TECHNICAL  & ADULT EDUCATION CENTER,0.0
4775,SHAWSHEEN VALLEY TECHNICAL HIGH SCHOOL,7.4
4776,CHARLOTTE MECKLENBURG HOSPITAL AUTHORITY,3.8
4777,CAREER TECHNICAL INSTITUTE,21.9
4778,PROFESSIONAL ELECTRICAL SCHOOL,0.0
4779,ATLANTA INSTITUTE OF MUSIC,20.0
4780,GRIFFITH UNIVERSITY,6.6
4781,SULLIVAN COUNTY BOARD OF COOPERATIVE EDUCATIONAL SERVICES (BOCES),9.0
4782,BAPTIST HEALTH SCHOOLS LITTLE ROCK,12.2
4783,MISSOURI STATE UNIVERSITY - WEST PLAINS,20.8
4784,OUR LADY OF THE LAKE COLLEGE,6.1
4785,SENTARA COLLEGE OF HEALTH SCIENCES,5.8
4786,SOUTHWEST COLLEGE OF NATUROPATHIC MEDICINE & HEALTH SCIENCES,2.0
4787,SUMMIT COLLEGE,30.5
4788,ECHELON EDGE ACADEMY OF HAIR SKIN & NAILS,18.0
4789,EVERGLADES UNIVERSITY,12.8
4790,ROYAL BEAUTY CAREERS,25.5
4791,SCHOOL OF COMMUNICATION ARTS OF NORTH CAROLINA,16.8
4792,METROPOLITAN CAREER CENTER/COMPUTER TECHNOLOGY INSTITUTE,22.5
4793,DONGGUK UNIVERSITY LOS ANGELES,6.6
4794,HOUGHTON LAKE INSTITUTE OF COSMETOLOGY,0.0
4795,PONCA CITY BEAUTY COLLEGE,0.0
4796,SALON ACADEMY (THE),20.5
4797,HAIRITAGE HAIR ACADEMY,0.0
4798,AVIATION INSTITUTE OF MAINTENANCE,39.6
4799,BAKKE GRADUATE UNIVERSITY,0.0
4800,HOUSE OF HEAVILIN OF BLUE SPRINGS,26.8
4801,UEI COLLEGE,12.6
4802,"ACADEMY OF HEALING ARTS, MASSAGE & FACIAL SKIN CARE",26.7
4803,SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY,17.4
4804,PRAXIS INSTITUTE,9.5
4805,ARIZONA COLLEGE,20.0
4806,HERITAGE COLLEGE,28.6
4807,MOTORING TECHNICAL TRAINING INSTITUTE,16.7
4808,GENESEE-LIVINGSTON-STEUBEN-WYOMING BOCES,9.7
4809,ADVENTIST UNIVERSITY OF HEALTH SCIENCES,4.4
4810,KAPLAN COLLEGE,28.7
4811,VOGUE BEAUTY AND BARBER SCHOOL,22.7
4812,OHIO COLLEGE OF MASSOTHERAPY,10.8
4813,VANGUARD - SENTINEL JOINT VOCATIONAL SCHOOL DISTRICT,0.0
4814,BAPTIST THEOLOGICAL SEMINARY AT RICHMOND,9.0
4815,ASHLAND COUNTY - WEST HOLMES CAREER CENTER - ADULT EDUCATION,0.0
4816,COLLEGEAMERICA - FLAGSTAFF,38.8
4817,NEW YORK CONSERVATORY FOR DRAMATIC ARTS (THE),3.7
4818,KAY HARVEY HAIRDRESSING ACADEMY,16.6
4819,EASTERN INTERNATIONAL COLLEGE,24.2
4820,YORK COUNTY COMMUNITY COLLEGE,25.5
4821,HUMAN RESOURCE DEVELOPMENT & EMPLOYMENT-STANLEY TECHNICAL INSTITU,40.9
4822,SOUTHEASTERN COLLEGE,19.3
4823,NORTHWESTERN TECHNOLOGICAL INSTITUTE,17.7
4824,PLATT COLLEGE,27.4
4825,IMAGINE - PAUL MITCHELL PARTNER SCHOOL,25.8
4826,JOHN WESLEY INTERNATIONAL BARBER & BEAUTY COLLEGE,47.8
4827,MIAMI AD SCHOOL,7.2
4828,PREMIERE CAREER COLLEGE,10.5
4829,AVIATION INSTITUTE OF MAINTENANCE,42.3
4830,CENTURA COLLEGE,34.7
4831,PACIFICA GRADUATE INSTITUTE,4.0
4832,STYLES & PROFILES BEAUTY COLLEGE,7.6
4833,ADVANCED TECHNOLOGY INSTITUTE,23.5
4834,COLLEGE OF HEALTH CARE PROFESSIONS (THE),20.2
4835,DELAWARE COUNTY TECHNICAL SCHOOL,9.8
4836,NATIONAL LATINO EDUCATION INSTITUTE,29.4
4837,MT. SIERRA COLLEGE,11.4
4838,FOND DU LAC TRIBAL & COMMUNITY COLLEGE,21.5
4839,FIVE BRANCHES UNIVERSITY,4.1
4840,AUSTRALIAN CATHOLIC UNIVERSITY,0.0
4841,EDITH COWAN UNIVERSITY,20.0
4842,CHARLES DARWIN UNIVERSITY,0.0
4843,QUEENSLAND UNIVERSITY OF TECHNOLOGY,7.6
4844,SOUTHERN CROSS UNIVERSITY,0.0
4845,SWINBURNE UNIVERSITY OF TECHNOLOGY,0.0
4846,NATIONAL BEAUTY COLLEGE,10.8
4847,AMERICAN COLLEGE OF HEALTHCARE,16.6
4848,AMERICAN BEAUTY ACADEMY,34.6
4849,"UNIVERSITY OF TECHNOLOGY, SYDNEY",0.0
4850,A - TECHNICAL COLLEGE,23.9
4851,AMERICAN COLLEGE OF ACUPUNCTURE & ORIENTAL MEDICINE,4.7
4852,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,19.1
4853,ACADEMY OF ORIENTAL MEDICINE AT AUSTIN,1.9
4854,ARLINGTON MEDICAL INSTITUTE,13.2
4855,AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY,7.6
4856,FOUR-D COLLEGE,40.4
4857,PACIFIC STATES UNIVERSITY,33.3
4858,CREATIVE CENTER (THE),15.6
4859,STUDIO JEWELERS,0.0
4860,TEXAS A & M UNIVERSITY - TEXARKANA,9.8
4861,UNIVERSITY OF ST. AUGUSTINE FOR HEALTH SCIENCES,0.0
4862,ATLANTA'S JOHN MARSHALL LAW SCHOOL,3.1
4863,AVIATION INSTITUTE OF MAINTENANCE,35.0
4864,SAN JUAN BAUTISTA SCHOOL OF  MEDICINE,5.2
4865,TEXAS HEALTH AND SCIENCE UNIVERSITY,3.8
4866,PENNSYLVANIA HIGHLANDS COMMUNITY COLLEGE,15.3
4867,NEW HAMPSHIRE INSTITUTE OF ART,7.7
4868,PHAGANS' GRANTS PASS COLLEGE OF BEAUTY,12.7
4869,STENOTECH CAREER INSTITUTE,16.2
4870,CUNY SCHOOL OF LAW AT QUEENS COLLEGE,2.9
4871,MANHATTAN SCHOOL OF COMPUTER TECHNOLOGY,0.0
4872,BOSTON GRADUATE SCHOOL OF PSYCHOANALYSIS,0.0
4873,EVEREST COLLEGE,20.4
4874,INSTITUTE FOR HEALTH EDUCATION (THE),39.4
4875,NEW YORK INSTITUTE OF MASSAGE,21.4
